date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_tot_cash_pfd_dvd,is_depr_exp,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_acct_note_rcv,bs_accts_rec_excl_notes_rec,bs_other_current_receivable,bs_inventories,bs_other_inv,bs_other_current_assets_detailed,bs_cur_asset_report,bs_net_fix_asset,bs_gross_fix_asset,bs_lt_invest,bs_long_term_investments,bs_other_assets_def_chrg_other,bs_disclosed_intangibles,bs_goodwill,bs_other_intangible_assets_detailed,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_acct_payable_and_accruals_detailed,bs_acct_payable,bs_taxes_payable,bs_accrual,bs_st_borrow,bs_st_capital_lease_obligations,bs_other_current_liabs_sub_detailed,bs_st_deferred_revenue,bs_cur_liab,bs_lt_borrow,bs_lt_capital_lease_obligations,bs_other_noncur_liabs_sub_detailed,bs_accrued_liabilities,bs_non_cur_liab,bs_tot_liab,bs_sh_cap_and_apic,bs_common_stock,bs_add_paid_in_cap,bs_amt_of_tsy_stock,bs_pure_retained_earnings,bs_other_ins_res_to_shrhldr_eqy,bs_eqty_bef_minority_int_detailed,bs_minority_noncontrolling_interest,bs_total_equity,bs_tot_liab_and_eqy,bs_total_capital_leases,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,bs_sh_out,bs_short_term_debt_detailed,bs_loans_receivable,bs_invtry_raw_materials,bs_accum_depr,bs_other_current_liabs_detailed,bs_pfd_eqty_and_hybrid_cptl,cf_non_cash_items_detailed,cf_other_non_cash_adj_less_detailed,cf_cash_from_oper,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,free_cash_flow_per_sh,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cf_decr_invest,cf_incr_invest,cf_cap_expenditures,cf_proc_fr_repurch_eqty_detailed,cf_decr_cap_stock,cf_net_inc,cf_depr_amort,cf_stock_based_compensation,cf_def_inc_tax,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_change_in_inventories,cf_change_in_prepaid_assets,cf_change_in_accounts_payable,cf_inc_dec_in_ot_op_ast_liab_detail,cf_nt_csh_proc_pymt_debt,cf_proc_debt_and_capital_lease,cf_pymt_debt_and_capital_lease,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_acquis_subsidiaries,cf_net_cash_paid_for_aquis,cf_net_chg_in_lt_invest_detailed,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_flow_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,market_cap,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,ev_to_ttm_sales,ev_to_ttm_ebitda,ev_to_ttm_ebit,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,diluted_ev,ev_to_sh_out,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,NCWC,ROIC,is_operating_expenses_r_and_d,is_int_expense,bs_long_term_borrowings_detailed,bs_other_noncurrent_liabs_detailed,cf_asset_impairment_charge,bs_invtry_finished_goods,cf_incr_cap_stock,bs_invtry_in_progress,div_per_shr,bs_notes_receivable,bs_deferred_tax_liabs_st,cf_cash_for_divestitures,cf_dvd_paid,is_discontinued_operations,bs_invtry_adj,cf_net_cash_discontinued_ops_inv,is_other_oper_income,bs_pension_liabilities
2000-02-29,MU,quarterly,Q2,2000.0,USD,1159100000.0,1159100000.0,448300000.0,448300000.0,710800000.0,438700000.0,93400000.0,242000000.0,272100000.0,10400000.0,,,10400000.0,261700000.0,92900000.0,168800000.0,15000000.0,22500000.0,153800000.0,-7500000.0,161300000.0,161300000.0,540800000.0,0.2982618343195266,0.3121301775147929,557200000.0,0.2894831299353912,0.3029432878679109,505700000.0,35.55811522791749,272100000.0,272100000.0,61.32344060046588,23.47510999913726,13.9159692865154,,233600000.0,1678400000.0,429900000.0,1248500000.0,875800000.0,875800000.0,,690100000.0,,116100000.0,3360400000.0,3926900000.0,6421400000.0,,,447500000.0,215800000.0,,215800000.0,231700000.0,4374400000.0,7734800000.0,789800000.0,789800000.0,,,74200000.0,,103500000.0,37600000.0,967500000.0,1464500000.0,,383200000.0,310900000.0,1847700000.0,2815200000.0,2148100000.0,27300000.0,2120800000.0,,2548100000.0,37400000.0,4733600000.0,186000000.0,4919600000.0,7734800000.0,,1108800000.0,22.53841775754126,62.5588509110254,3.47328165374677,47.06045791439735,523204296.0,74200000.0,,87400000.0,2494500000.0,65900000.0,,16000000.0,16000000.0,144900000.0,-52700000.0,-104100000.0,-139000000.0,-52500000.0,,-11700000.0,-84400000.0,-84400000.0,-84400000.0,-0.1560650887573964,10.73458850115619,0.898326100433974,,,-229300000.0,-229300000.0,,687900000.0,-510000000.0,-229300000.0,86500000.0,,161300000.0,233600000.0,,,-266000000.0,15700000.0,-177800000.0,,-103900000.0,,,,,,,,177900000.0,2.143306213017752,0.935096153846154,0.5031434911242604,0.2679363905325443,3.103550295857988,4.762204142011834,8.6978550295858,26228800000.0,1538700000.0,26275100000.0,4300100000.0,35.782888770028606,0.0585611472458715,5.604637273095711,15.761907618476306,34.14567901234568,22.580869714678585,13.80865040992222,27024200000.0,28319000000.0,48.585613905325445,4688100000.0,1667000000.0,769500000.0,1163600000.0,1902800000.0,543700000.0,,103300000.0,,1464500000.0,72300000.0,,331000000.0,86500000.0,286600000.0,,,,,,-7500000.0,-14900000.0,,,
2000-03-31,NTR,quarterly,Q1,2000.0,USD,590590000.0,590590000.0,407406000.0,407406000.0,183184000.0,97937000.0,22208000.0,75729000.0,85247000.0,-6897000.0,,,-6897000.0,92144000.0,20484000.0,71660000.0,,,71660000.0,,71660000.0,71660000.0,384624000.0,0.1863118266150838,0.1863118266150838,384624000.0,0.1863118266150838,0.1863118266150838,134767000.0,20.161447596361032,85247000.0,85247000.0,31.0171184747456,14.43420985793867,12.133629082781624,,49520000.0,28832000.0,28832000.0,,305636000.0,,305636000.0,355629000.0,355629000.0,44837000.0,734934000.0,2869879000.0,3820916000.0,,,328810000.0,108639000.0,,108639000.0,220171000.0,3198689000.0,3933623000.0,379173000.0,379173000.0,,,475935000.0,,,,855108000.0,436865000.0,,674955000.0,419638000.0,1111820000.0,1966928000.0,1190883000.0,,1190883000.0,,482719000.0,293093000.0,1966695000.0,,1966695000.0,3933623000.0,,883968000.0,44.946877883962685,48.57683064818049,0.8594633660309575,-1.5305280974068722,384624000.0,475935000.0,,,951037000.0,,,-2550000.0,-10757000.0,134285000.0,-17726000.0,-76005000.0,-6139000.0,-73453000.0,,-15173000.0,72833000.0,72833000.0,76006000.0,0.189361558301094,,1.873918504046888,3173000.0,3173000.0,-61452000.0,-61452000.0,,,,-61452000.0,-54072000.0,-54417000.0,71660000.0,49520000.0,,8207000.0,15655000.0,-24071000.0,20691000.0,,26898000.0,-7863000.0,,,,,,,,1.5354996048088525,0.3503863513457299,0.2216372353259287,0.349133179416781,0.0749615208619327,1.2550412870751697,4.830837389242481,,912800000.0,883968000.0,1395519000.0,65.40935666228837,1.0326165653055317,0.4204658206943265,2.085494202163425,3.8046475193574905,2.341674304757161,1.7012733067483718,,883968000.0,2.2982653188568576,2102354000.0,423865000.0,232339000.0,377494000.0,519592000.0,,,,,436865000.0,255317000.0,,,345000.0,,0.0344284288031948,,,,-13242000.0,,,,,
2000-03-31,SNDK,quarterly,Q1,2000.0,USD,109369000.0,109369000.0,64212000.0,64212000.0,45157000.0,27606000.0,15291000.0,3546000.0,17551000.0,-350220000.0,,,-350220000.0,367771000.0,148500000.0,219271000.0,,,219271000.0,,219271000.0,219271000.0,66095000.0,3.3175126711551552,3.3175126711551552,73015000.0,3.003095254399781,3.003095254399781,21097000.0,16.605704988181337,17551000.0,17551000.0,41.28866497819309,16.047508891916358,200.48734101985025,,3546000.0,675463000.0,107558000.0,567905000.0,78884000.0,,78884000.0,35231000.0,35231000.0,5266000.0,794844000.0,31919000.0,58219000.0,,,207148000.0,,,,207148000.0,239067000.0,1033911000.0,31347000.0,31347000.0,,,,,126969000.0,,158316000.0,,,68317000.0,68317000.0,68317000.0,226633000.0,530204000.0,100000.0,530104000.0,,277074000.0,,807278000.0,,807278000.0,1033911000.0,,-107558000.0,-13.32353910301036,78.08002816490007,5.02061699386038,2.4664228890878874,66558905.0,,,,26300000.0,126969000.0,,-205731000.0,-344168000.0,169000.0,-3676000.0,-44854000.0,,6073000.0,,-38612000.0,169000.0,169000.0,169000.0,0.0025569256373401,,0.0007707357562103,,,,,,73453000.0,-114631000.0,,6073000.0,,219271000.0,3546000.0,,138437000.0,-16917000.0,-26451000.0,448000.0,,613000.0,8473000.0,,,,,,,-41178000.0,1.6547242605340795,0.3191920720175505,0.2655420228459036,0.0025569256373401,10.219577880323776,4.193569861562902,12.213904228761631,,,-675463000.0,277174000.0,,,,,,,,,-107558000.0,,312218000.0,51846000.0,42900000.0,4869000.0,17669000.0,,,8769000.0,,,,,,6073000.0,,,,,,,,,,,
2000-05-31,MU,quarterly,Q3,2000.0,USD,1553800000.0,1553800000.0,725000000.0,725000000.0,828800000.0,385700000.0,112400000.0,172800000.0,443100000.0,-7100000.0,,,-7100000.0,450200000.0,160300000.0,289900000.0,24300000.0,39300000.0,265600000.0,-9300000.0,274900000.0,274900000.0,551000000.0,0.4989110707803992,0.5261343012704174,597300000.0,0.4602377364808304,0.4853507450192533,693200000.0,40.60913705583757,443100000.0,443100000.0,53.34019822370961,28.51718367872313,17.69210966662376,,250100000.0,1847700000.0,383200000.0,1464500000.0,1143900000.0,1143900000.0,,641700000.0,,124100000.0,3757400000.0,4055600000.0,6734700000.0,,,397800000.0,214700000.0,,214700000.0,183100000.0,4453400000.0,8210800000.0,897600000.0,897600000.0,,,44200000.0,,109900000.0,74900000.0,1051700000.0,941900000.0,,422600000.0,345000000.0,1364500000.0,2416200000.0,2776800000.0,55300000.0,2721500000.0,,2823000000.0,4900000.0,5604700000.0,189900000.0,5794600000.0,8210800000.0,,602900000.0,10.404514548027477,69.78276909993622,3.5726918322715604,37.71259888461498,553100000.0,44200000.0,,97300000.0,2679100000.0,35000000.0,,56300000.0,31200000.0,431400000.0,-11300000.0,-448400000.0,-94100000.0,-29700000.0,,-46700000.0,166600000.0,166600000.0,166600000.0,0.3023593466424682,14.40856910684002,1.569297926518734,,,-264800000.0,-264800000.0,,654800000.0,-827100000.0,-264800000.0,64400000.0,,274900000.0,250100000.0,,25100000.0,-149900000.0,-212200000.0,51100000.0,,18200000.0,-7000000.0,,,,,,,-172300000.0,2.8199637023593467,1.258076225045372,0.8041742286751361,0.782940108892922,3.353357531760436,5.223774954627949,10.126860254083484,38536940000.0,986100000.0,37865240000.0,4054300000.0,24.3223244456503,0.0260423544126486,7.04063516855395,17.3375641025641,30.52663656884876,26.87574703669529,17.837403429432825,41775162000.0,42567962000.0,68.72094373865698,5378100000.0,2184000000.0,1240400000.0,1408900000.0,2122800000.0,592200000.0,,100500000.0,,941900000.0,77600000.0,,235600000.0,64400000.0,323000000.0,,,,,,-15000000.0,-14200000.0,,,
2000-06-30,NTR,quarterly,Q2,2000.0,USD,560815000.0,560815000.0,390499000.0,390499000.0,170316000.0,95982000.0,26497000.0,69485000.0,74334000.0,-8022000.0,,,-8022000.0,82356000.0,22236000.0,60120000.0,,,60120000.0,,60120000.0,60120000.0,376403478.0,0.159722222332919,0.159722222332919,376403478.0,0.159722222332919,0.159722222332919,122220000.0,19.321055392727484,74334000.0,74334000.0,30.36937314444157,13.254638338846144,10.7201126931341,,47886000.0,31034000.0,31034000.0,,281706000.0,,281706000.0,388344000.0,388344000.0,39341000.0,740425000.0,2904192000.0,3855229000.0,,,336068000.0,107900000.0,,107900000.0,228168000.0,3240260000.0,3980685000.0,386303000.0,386303000.0,,,472294000.0,,,,858597000.0,436662000.0,,675970000.0,426173000.0,1112632000.0,1971229000.0,1189315000.0,,1189315000.0,,529995000.0,290146000.0,2009456000.0,,2009456000.0,3980685000.0,,877922000.0,43.6895358743859,49.100479370788726,0.8623661624720329,4.3381405571076215,377695936.0,472294000.0,,,951037000.0,,,7248000.0,-3763000.0,110419000.0,-41902000.0,-86622000.0,-3866000.0,-21627000.0,,2170000.0,60860000.0,60860000.0,65699000.0,0.161688197790776,,1.836643379906853,4839000.0,4839000.0,-49559000.0,-49559000.0,,,,-49559000.0,-4893000.0,-5319000.0,60086000.0,47886000.0,,11011000.0,-4801000.0,23944000.0,-32290000.0,,628000.0,2917000.0,,,,,,,,1.4899304410784429,0.3247047573774013,0.1974848914653227,0.2933527622717662,0.0824487599447739,1.4080502199822924,5.051908686135998,,908956000.0,877922000.0,1438951000.0,63.167960549038845,1.035349381835744,0.4183232324868762,2.165115848921661,4.040640116351319,2.7623854279088644,1.9729914376250084,,877922000.0,2.3323960890712065,2098669000.0,405485000.0,217273000.0,317813000.0,444970000.0,,,,,436662000.0,249797000.0,,,426000.0,,0.0341867191779774,,,,-12868000.0,,,,,
2000-06-30,SNDK,quarterly,Q2,2000.0,USD,143949000.0,143949000.0,81001000.0,81001000.0,62948000.0,32096000.0,17532000.0,3513000.0,30852000.0,-6483000.0,,,-6483000.0,37335000.0,13067000.0,24268000.0,,,24268000.0,,24268000.0,24268000.0,66817000.0,0.3632009817860724,0.3632009817860724,72798000.0,0.3333608066155664,0.3333608066155664,34365000.0,19.117581475553617,30852000.0,30852000.0,43.72937637635552,21.43259070920952,16.858748584568144,,3513000.0,697755000.0,175829000.0,521926000.0,83658000.0,,83658000.0,46760000.0,46760000.0,5993000.0,834166000.0,34793000.0,61093000.0,,,222676000.0,,,,222676000.0,257469000.0,1091635000.0,42648000.0,42648000.0,,,,,145938000.0,,188586000.0,,,68317000.0,68317000.0,68317000.0,256903000.0,532343000.0,100000.0,532343000.0,,291336000.0,11053000.0,834732000.0,,834732000.0,1091635000.0,,-175829000.0,-21.064125970970323,76.46621810403661,4.423265777947462,7.399459386018933,66965574.0,,,,26300000.0,145938000.0,,858000.0,858000.0,40725000.0,-22216000.0,25407000.0,,2139000.0,,68271000.0,40725000.0,40725000.0,40725000.0,0.6095005762006674,,1.678135816713367,,,,,,122171000.0,-74548000.0,,2139000.0,,24268000.0,3513000.0,,138437000.0,12086000.0,-4773000.0,-11529000.0,,11301000.0,17087000.0,,,,,,,47623000.0,2.154376880135295,0.5143152191807474,0.4617387790532349,0.6095005762006674,10.44277653890477,4.36020773156532,12.492808716344642,,,-697755000.0,291336000.0,,,,,,,,,-175829000.0,,403618000.0,77162000.0,66803000.0,40794000.0,44894000.0,,,11051000.0,,,,,,2139000.0,,,,,,,,,,,
2000-08-31,MU,quarterly,Q4,2000.0,USD,2570200000.0,2570200000.0,1159400000.0,1159400000.0,1410800000.0,313000000.0,181300000.0,172800000.0,1097800000.0,-12900000.0,,,-12900000.0,1110700000.0,375000000.0,726700000.0,9000000.0,9000000.0,717700000.0,-9000000.0,726700000.0,726700000.0,551000000.0,0.4989110707803992,0.5261343012704174,597300000.0,0.4602377364808304,0.4853507450192533,1365400000.0,48.44412085911904,1097800000.0,1097800000.0,54.89066998677146,42.71262936736441,28.27406427515368,,267600000.0,2466400000.0,701700000.0,1764700000.0,1413100000.0,1413100000.0,,688600000.0,,152000000.0,4720100000.0,4171700000.0,6951700000.0,,,500100000.0,213000000.0,,213000000.0,287100000.0,4671800000.0,9391900000.0,1271400000.0,1271400000.0,,,46800000.0,,128900000.0,87900000.0,1447100000.0,931400000.0,,403500000.0,333500000.0,1334900000.0,2782000000.0,2880900000.0,56700000.0,2824200000.0,,3549600000.0,1500000.0,6432000000.0,177900000.0,6609900000.0,9391900000.0,,276500000.0,4.183119260503185,69.69135735218816,3.261764909128602,12.9038972863422,567300000.0,46800000.0,,83000000.0,2780000000.0,41000000.0,,-2500000.0,-2500000.0,890800000.0,95800000.0,-586900000.0,-30500000.0,14600000.0,,318500000.0,461800000.0,461800000.0,461800000.0,0.3023593466424682,12.164863979720304,1.225815329572038,,,-429000000.0,-429000000.0,,422100000.0,-675800000.0,-429000000.0,45100000.0,,726700000.0,267600000.0,,25100000.0,-101000000.0,-430700000.0,-63100000.0,,507000000.0,-114200000.0,,,,,,,-253700000.0,2.8199637023593467,1.258076225045372,0.8041742286751361,0.782940108892922,3.353357531760436,5.223774954627949,10.126860254083484,38536940000.0,978200000.0,-1310300000.0,4762400000.0,20.54006383336133,-0.7465465923834237,7.04063516855395,17.3375641025641,30.52663656884876,26.87574703669529,17.837403429432825,41775162000.0,454400000.0,68.72094373865698,6867500000.0,3326900000.0,2346100000.0,2015800000.0,2938900000.0,560900000.0,,131700000.0,,931400000.0,70000000.0,,284400000.0,45100000.0,330600000.0,,,,,,-15000000.0,-9400000.0,,,
2000-09-30,NTR,quarterly,Q3,2000.0,USD,542655000.0,542655000.0,375656000.0,375656000.0,166999000.0,95680000.0,30571000.0,65109000.0,71319000.0,7817000.0,,,7817000.0,63502000.0,17151000.0,46351000.0,,,46351000.0,,46351000.0,46351000.0,374974382.0,0.123611111118519,0.123611111118519,374974382.0,0.123611111118519,0.123611111118519,117780000.0,20.75970277786412,71319000.0,71319000.0,30.774433111276963,13.14260441717113,8.541522698583815,,46461000.0,95642000.0,95642000.0,,335098000.0,,335098000.0,400983000.0,400983000.0,32328000.0,864051000.0,2895165000.0,3846202000.0,,,349954000.0,107161000.0,,107161000.0,242793000.0,3245119000.0,4109170000.0,459444000.0,459444000.0,,,542526000.0,,,,1001970000.0,413803000.0,,695304000.0,425376000.0,1109107000.0,2111077000.0,1170587000.0,,1170587000.0,,563256000.0,264250000.0,1998093000.0,,1998093000.0,4109170000.0,,860687000.0,43.07542241527296,47.24956890401796,0.862352166232522,-4.705727415106452,371863152.0,542526000.0,,,951037000.0,,,13352000.0,-352000.0,116238000.0,-11105000.0,-41289000.0,47373000.0,-10341000.0,,64608000.0,85952000.0,85952000.0,86054000.0,0.2292209924890282,,2.5077776099760523,102000.0,102000.0,-30286000.0,-30286000.0,,,,-30286000.0,-44624000.0,-44413000.0,46351000.0,46461000.0,,13704000.0,10074000.0,-53392000.0,-14481000.0,,58107000.0,19840000.0,,,,,,,,1.4471788635416698,0.3141014577363847,0.1901969932441944,0.3099891768072839,0.2550627578606156,1.502118616732596,5.042829832572402,,956329000.0,860687000.0,1519585000.0,62.933564098092575,1.1111228588325373,0.3934166284229637,1.8950975966884285,3.218821056725706,2.28086582518663,1.6594819607903626,,860687000.0,2.295322137500049,2187724000.0,454165000.0,267392000.0,377351000.0,518648000.0,,,,,413803000.0,269928000.0,,,-211000.0,,0.0349090514668812,,,,-13090000.0,,,,,
2000-09-30,SNDK,quarterly,Q3,2000.0,USD,170839000.0,170839000.0,97332000.0,97332000.0,73507000.0,37972000.0,20412000.0,4542000.0,35535000.0,-5417000.0,,,-5417000.0,40952000.0,15349000.0,25603000.0,,,25603000.0,,25603000.0,25603000.0,67142000.0,0.3813261445890799,0.3813261445890799,72638000.0,0.3524739117266444,0.3524739117266444,40167000.0,21.34875344457222,35535000.0,35535000.0,43.02706056579586,20.8002856490614,14.98662483390795,,4632000.0,431195000.0,172261000.0,258934000.0,133561000.0,,133561000.0,67323000.0,67323000.0,172794000.0,804873000.0,38265000.0,64565000.0,,,263881000.0,,,,263881000.0,302146000.0,1107019000.0,65120000.0,65120000.0,,,,,138290000.0,,203410000.0,,,70176000.0,68317000.0,70176000.0,273586000.0,535045000.0,535045000.0,532343000.0,,316939000.0,-18551000.0,833433000.0,,833433000.0,1107019000.0,,-172261000.0,-20.66884800577851,75.28624169955529,3.956899857430805,6.006941783795419,67304244.0,,,,26300000.0,138290000.0,,-2000.0,858000.0,-2655000.0,-50060000.0,-3615000.0,,2702000.0,,-3568000.0,-2655000.0,-2655000.0,-2655000.0,-0.039543057996485,,-0.1036987852985978,,,,,,145655000.0,-99210000.0,,2702000.0,,25603000.0,4632000.0,,-2000.0,-32888000.0,-49903000.0,-20563000.0,,22472000.0,15106000.0,,,,,,,46445000.0,2.544443120550475,0.5982395519942808,0.5292514372523904,-0.039543057996485,6.422135176193739,12.689285395132703,12.412990378600576,,,-431195000.0,851984000.0,,,,,,,,,-172261000.0,,506957000.0,108229000.0,95338000.0,39539000.0,39539000.0,,,13018000.0,,,1859000.0,,,2702000.0,,,,,,,,,,,
2000-11-30,MU,quarterly,Q1,2001.0,USD,1571600000.0,1571600000.0,809100000.0,809100000.0,762500000.0,242200000.0,103200000.0,172800000.0,520300000.0,-41300000.0,,,-41300000.0,561600000.0,196000000.0,359500000.0,13400000.0,20700000.0,346100000.0,-6100000.0,352200000.0,352200000.0,581900000.0,0.6052586355043822,0.6178037463481698,609400000.0,0.5779455201837873,0.5899245159172957,788500000.0,48.91242505142457,520300000.0,520300000.0,48.51743446169509,33.10638839399338,22.41028251463477,,268200000.0,2463500000.0,568700000.0,1894800000.0,992600000.0,992600000.0,,1026400000.0,,227600000.0,4710100000.0,4508500000.0,7524500000.0,,,582900000.0,211900000.0,,211900000.0,371000000.0,5091400000.0,9801500000.0,1280900000.0,1280900000.0,,,50200000.0,,116100000.0,58200000.0,1447200000.0,242500000.0,,415200000.0,326600000.0,657700000.0,2104900000.0,3592600000.0,59300000.0,3533300000.0,,3901900000.0,1700000.0,7496200000.0,200400000.0,7696600000.0,9801500000.0,,-276000000.0,-3.5859990125509964,78.0501793609744,3.2546296296296298,31.920068052390903,593000000.0,50200000.0,,124500000.0,3016000000.0,57900000.0,,-50700000.0,7700000.0,614200000.0,-58800000.0,-729400000.0,-37300000.0,-17800000.0,,-133000000.0,114500000.0,114500000.0,124700000.0,0.196769204330641,4.241697966288018,1.7438955139125496,10200000.0,10200000.0,-499700000.0,-499700000.0,,667500000.0,-848600000.0,-499700000.0,19500000.0,,352200000.0,268200000.0,,-58400000.0,44500000.0,572100000.0,-312400000.0,,-124400000.0,-90800000.0,,,,,,,-181100000.0,2.70080769891734,1.3550438219625365,0.8941398865784499,1.0555078192129232,4.233545282694621,6.807355215672796,12.862519333218764,18329850000.0,292700000.0,16359450000.0,4454300000.0,6.571178411871674,0.0178917995409381,2.3866033524443084,4.879339656406586,7.011293018471693,7.860207562581079,4.995556980578967,19196100000.0,19120500000.0,28.11385117717821,6854700000.0,3352800000.0,2333300000.0,2081300000.0,3274800000.0,580900000.0,,139000000.0,,242500000.0,88600000.0,,568600000.0,19500000.0,343900000.0,,,,,,-7300000.0,-10600000.0,,,
