date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_ni_including_minority_int_ratio,is_net_income,is_earn_for_common,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_mkt_sec_other_st_invest,bs_acct_note_rcv,bs_accts_rec_excl_notes_rec,bs_other_current_receivable,bs_inventories,bs_other_inv,bs_other_current_assets_detailed,bs_cur_asset_report,bs_net_fix_asset,bs_gross_fix_asset,bs_lt_invest,bs_long_term_investments,bs_other_assets_def_chrg_other,bs_disclosed_intangibles,bs_other_intangible_assets_detailed,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_acct_payable_and_accruals_detailed,bs_acct_payable,bs_taxes_payable,bs_accrual,bs_st_borrow,bs_short_term_debt_detailed,bs_st_capital_lease_obligations,bs_other_current_liabs_sub_detailed,bs_st_deferred_revenue,bs_cur_liab,bs_lt_borrow,bs_long_term_borrowings_detailed,bs_lt_capital_lease_obligations,bs_other_noncur_liabs_sub_detailed,bs_accrued_liabilities,bs_other_noncurrent_liabs_detailed,bs_non_cur_liab,bs_tot_liab,bs_sh_cap_and_apic,bs_common_stock,bs_add_paid_in_cap,bs_pure_retained_earnings,bs_other_ins_res_to_shrhldr_eqy,bs_eqty_bef_minority_int_detailed,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,bs_total_capital_leases,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,bs_notes_receivable,bs_invtry_raw_materials,bs_invtry_in_progress,bs_invtry_finished_goods,bs_accum_depr,bs_goodwill,bs_other_current_liabs_detailed,bs_loans_receivable,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,market_cap,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,ev_to_ttm_sales,diluted_mkt_cap,diluted_ev,ev_to_sh_out,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,is_depr_exp,is_xo_gl_net_of_tax,is_discontinued_operations,is_extraord_items_and_acctg_chng,is_other_oper_income,cf_net_inc,cf_depr_amort,cf_non_cash_items_detailed,cf_stock_based_compensation,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_change_in_inventories,cf_change_in_prepaid_assets,cf_change_in_accounts_payable,cf_inc_dec_in_ot_op_ast_liab_detail,cf_cash_from_oper,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_cash_from_inv_act,cf_proc_fr_repurch_eqty_detailed,cf_incr_cap_stock,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_free_cash_flow,free_cash_flow_equity,free_cash_flow_per_sh,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_other_investing_act_detailed,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_acquis_subsidiaries,cf_net_cash_paid_for_aquis,cf_free_cash_flow_firm,cf_acct_rcv_unbilled_rev,cf_cash_for_divestitures,cf_nt_csh_proc_pymt_debt,cf_pymt_debt_and_capital_lease,cf_proc_debt_and_capital_lease,cf_asset_impairment_charge,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_acquisition_of_intang_assets,cash_flow_per_sh,bs_invtry_adj,bs_pension_liabilities,bs_minority_noncontrolling_interest,is_tot_cash_pfd_dvd,bs_pfd_eqty_and_hybrid_cptl,ev_to_ttm_ebitda,ev_to_ttm_ebit,is_min_noncontrol_interest_credits,bs_amt_of_tsy_stock,bs_deferred_tax_liabs_st,cf_decr_cap_stock,cf_net_cash_discontinued_ops_inv,cf_net_cash_discont_ops_oper,div_per_shr,cf_dvd_paid
2019-09-30,XPEV,quarterly,Q1,2019,CNY,449717000.0,449717000.0,495021000.0,495021000.0,-45304000.0,716243000.0,286049000.0,435002000.0,-4808000.0,-761547000.0,14729000.0,-12107000.0,10468000.0,22575000.0,26836000.0,-776276000.0,,-776276000.0,-776276000.0,-776276000.0,-776276000.0,796193938.0,-0.974983559847199,-0.974983559847199,796193938.0,-0.974983559847199,-0.974983559847199,-761547000.0,,-761547000.0,-761547000.0,-10.073890913619008,-169.33916218421808,-172.61433301387316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5648334890989838,-0.9564842981761059,-0.9564842981761059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,XPEV,quarterly,Q2,2019,CNY,640010000.0,640010000.0,682059000.0,682059000.0,-42049000.0,1044050000.0,394462000.0,651958000.0,-2370000.0,-1086099000.0,-89032000.0,1635000.0,9872000.0,8237000.0,-90667000.0,-997067000.0,1000.0,-997068000.0,-997068000.0,-997068000.0,-997068000.0,,,,,,,-1086099000.0,,-1086099000.0,-1086099000.0,-6.570053592912611,-169.700317182544,-155.78944078998768,2354775000.0,1946931000.0,407844000.0,1323817000.0,539199000.0,784618000.0,454116000.0,,827942000.0,4960650000.0,3677208000.0,3918384000.0,,,613507000.0,373189000.0,373189000.0,240318000.0,4290715000.0,9251365000.0,2258320000.0,953946000.0,,1304374000.0,570690000.0,479950000.0,90740000.0,468681000.0,53860000.0,3297691000.0,2051404000.0,1690000000.0,361404000.0,10732700000.0,115914000.0,10616786000.0,12784104000.0,16081795000.0,21000.0,21000.0,,-6824503000.0,-5948000.0,-6830430000.0,-6830430000.0,9251365000.0,1410019000.0,452144000.0,223019000.0,-3.2650799437224305,-81.13850187245669,1.5042798127538328,,,125673000.0,,328443000.0,241176000.0,,414821000.0,,,,,,,,,2622094000.0,267319000.0,-4202388000.0,-62.39533332000757,9.80885758213969,,,675163000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,XPEV,quarterly,Q1,2020,CNY,412069000.0,412069000.0,431942000.0,431942000.0,-19873000.0,629410000.0,321825000.0,310782000.0,-3197000.0,-649283000.0,478000.0,-2380000.0,8278000.0,10658000.0,2858000.0,-649761000.0,,-649761000.0,-649761000.0,-649761000.0,-649761000.0,796193938.0,-0.8160838320776062,-0.8160838320776062,796193938.0,-0.8160838320776062,-0.8160838320776062,-649283000.0,,-649283000.0,-649283000.0,-4.822735998097406,-157.56657258857135,-157.6825725788642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5175485272282995,-0.8154834758362604,-0.8154834758362604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,XPEV,quarterly,Q2,2020,CNY,590781000.0,590781000.0,607024000.0,607024000.0,-16243000.0,762849000.0,477149000.0,319796000.0,-34096000.0,-779092000.0,-633050000.0,-2619000.0,7676000.0,10295000.0,-630431000.0,-146042000.0,,-146042000.0,-146042000.0,-146042000.0,-146042000.0,705009500.0,-0.2071489816803887,-0.2071489816803887,705009500.0,-0.2071489816803887,-0.2071489816803887,-779092000.0,-156.55438246716847,-779092000.0,-779092000.0,-2.7494113724036486,-131.8749248875641,-24.72015856975766,1284382000.0,1061209000.0,223173000.0,1299536000.0,692099000.0,607437000.0,774062000.0,,1310604000.0,4668584000.0,3628832000.0,3977661000.0,1000000.0,1000000.0,1026453000.0,866039000.0,866039000.0,160414000.0,4656285000.0,9324869000.0,3042939000.0,1583631000.0,,1459308000.0,426973000.0,337465000.0,89508000.0,666403000.0,186644000.0,4136315000.0,2017727000.0,1689980000.0,327747000.0,107338000.0,74034000.0,33304000.0,2125065000.0,6261380000.0,11987953000.0,63000.0,11987890000.0,-8903117000.0,-21347000.0,3063489000.0,3063489000.0,9324869000.0,1410019000.0,417255000.0,966236000.0,31.54037765436729,25.978179015301173,1.1286819306556681,,,292636000.0,75245000.0,406181000.0,348829000.0,,479759000.0,,0.8379759421681552,-1.1050801443101121,-1.1050801443101121,1.8217938907206215,-12.628275221823252,3.1169083537172195,,2444700000.0,1160318000.0,-6458354000.0,-37.853298224284394,2.106922412648946,0.5544923794918897,,1383491000.0,1.645818957049515,2092577000.0,-3276021000.0,-3276021000.0,-114251967.21491078,-114251967.21491078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,XPEV,quarterly,Q3,2020,CNY,1990119000.0,1990119000.0,1898578000.0,1898578000.0,91541000.0,1835725000.0,1203792000.0,635373000.0,-3440000.0,-1744184000.0,-595429000.0,-19290000.0,3926000.0,23216000.0,-576139000.0,-1148755000.0,6000.0,-1148761000.0,-1148761000.0,-1148761000.0,-1148761000.0,399682348.0,-2.8741849765154,-2.8741849765154,399682348.0,-2.8741849765154,-2.8741849765154,-1744184000.0,-117.22220249552777,-1744184000.0,-1744184000.0,4.599775189322849,-87.64219627067527,-57.723231625847504,17989557000.0,12221210000.0,5768347000.0,963657000.0,893567000.0,70090000.0,860919000.0,860919000.0,3447598000.0,23261731000.0,3510197000.0,3510197000.0,1000000.0,1000000.0,1023664000.0,858605000.0,858605000.0,165059000.0,4534861000.0,27796592000.0,5479848000.0,3491965000.0,,1987883000.0,380574000.0,280400000.0,100174000.0,72034000.0,72034000.0,5932456000.0,1976555000.0,1667490000.0,309065000.0,159571000.0,85157000.0,74414000.0,2136126000.0,8068582000.0,30427579000.0,94000.0,30427485000.0,-10535002000.0,-164567000.0,19728010000.0,19728010000.0,27796592000.0,1469405666.0,409239000.0,-10273320000.0,-52.074791121861765,70.04756888478713,3.921096254232648,-53.93911457412082,,,,,,,,,4.979251673131183,-4.363925524176515,-4.363925524176515,45.00963600223846,-26.358201838826268,47.21100417474529,54487330011.9549,2357129000.0,38854902011.9549,-8177779000.0,-28.82358400734478,0.060664906561204476,10.695052741002606,54487330011.9549,44623249011.9549,97.21445594578749,3632979000.0,-4258658000.0,-4258658000.0,18143499.98737764,18143499.98737764,2141.532892715634,2141.532892715634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,XPEV,quarterly,Q4,2020,CNY,2851352000.0,2851352000.0,2640788000.0,2640788000.0,210564000.0,1331741000.0,917883000.0,459955000.0,-46097000.0,-1121177000.0,-334973000.0,-86296000.0,2571000.0,88867000.0,-248677000.0,-786204000.0,1217000.0,-787421000.0,-787421000.0,-787421000.0,-787421000.0,747612653.0,-1.0532472890075604,-1.0532472890075604,747612653.0,-1.0532472890075604,-1.0532472890075604,-1121177000.0,-73.4685175574716,-1121177000.0,-1121177000.0,7.384707324805917,-39.32089058102963,-27.6157065139625,33009996000.0,29209388000.0,3800608000.0,1807273000.0,1128892000.0,678381000.0,1343025000.0,,3518984000.0,39679278000.0,3579898000.0,4171684000.0,1000000.0,1000000.0,1446603000.0,987975000.0,987975000.0,458628000.0,5027501000.0,44706779000.0,6489035000.0,5111745000.0,1209000.0,1376081000.0,292465000.0,172900000.0,119565000.0,1055763000.0,169054000.0,7837263000.0,1997501000.0,1645000000.0,352501000.0,442206000.0,362449000.0,79757000.0,2439707000.0,10276970000.0,46482613000.0,101000.0,46482512000.0,-11322423000.0,-730381000.0,34429809000.0,34429809000.0,44706779000.0,1579805666.0,472066000.0,-27391488000.0,-79.55747881145666,76.49302117230837,5.062899892475217,-60.284263711742796,,387524000.0,11556000.0,943945000.0,591786000.0,,886709000.0,,3.813942940315645,-1.499676330384419,-1.499676330384419,44.15387549627253,-15.144636670562075,44.731498143865686,209009464281.91904,2289966000.0,178289434281.91904,-9032356000.0,-25.35292010190918,0.012844092580264772,30.506441087325463,209009464281.91904,182090042281.91904,238.47835315050378,5844321000.0,-4293736000.0,-4293736000.0,8577390.608862331,8577390.608862331,20785.975876825156,20785.975876825156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,XPEV,quarterly,Q1,2021,CNY,2950926000.0,2950926000.0,2621085000.0,2621085000.0,329841000.0,1233774000.0,720821000.0,535114000.0,-22161000.0,-903933000.0,-117372000.0,-133960000.0,1142000.0,135102000.0,16588000.0,-786561000.0,,-786561000.0,-786561000.0,-786561000.0,-786561000.0,793359103.0,-0.9914312409420983,-0.9914312409420983,793359103.0,-0.9914312409420983,-0.9914312409420983,-903933000.0,-54.25610669366677,-903933000.0,-903933000.0,11.177542235894766,-30.63218122040336,-26.65471787499924,33517954000.0,31061085000.0,2456869000.0,1629194000.0,1374655000.0,254539000.0,1933180000.0,1933180000.0,3567286000.0,40647614000.0,3836612000.0,3836612000.0,25551000.0,25551000.0,2660952000.0,986313000.0,986313000.0,1674639000.0,6523115000.0,47170729000.0,8750144000.0,5897486000.0,,2852658000.0,180381000.0,7900000.0,172481000.0,135350000.0,126552000.0,9065875000.0,2090560000.0,1600000000.0,490560000.0,2179678000.0,206924000.0,1972754000.0,4270238000.0,13336113000.0,46572889000.0,104000.0,46572785000.0,-12108984000.0,-629289000.0,33834616000.0,33834616000.0,47170729000.0,1587123110.0,663041000.0,-29453185000.0,-87.05044857018622,71.12421428041874,4.483584210018338,-35.60356223846151,,,,,,,8798000.0,,3.719533801076207,-1.139374334499821,-1.139374334499821,42.24814951168462,-15.26279833963158,41.40407903027489,189850828147.93207,2270941000.0,158603815147.93207,-9837939000.0,-23.08350356715975,0.014318325179516398,18.919294705174106,189850828147.93207,161060684147.93207,199.91428162630166,8383178000.0,-4548386000.0,-4548386000.0,5185292.858722974,5185292.858722974,30587.2434728774,30587.2434728774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,XPEV,quarterly,Q2,2021,CNY,3761279000.0,3761279000.0,3312699000.0,3312699000.0,448580000.0,1891745000.0,1030767000.0,863524000.0,-2546000.0,-1443165000.0,-248596000.0,-126023000.0,24006000.0,150029000.0,-122573000.0,-1194569000.0,,-1194569000.0,-1194569000.0,-1194569000.0,-1194569000.0,796193938.0,-1.5003492779669971,-1.5003492779669971,796193938.0,-1.5003492779669971,-1.5003492779669971,-1443165000.0,-45.11515642294279,-1443165000.0,-1443165000.0,11.926262316621553,-38.36899629088935,-31.75964877904564,29507391000.0,15444912000.0,14062479000.0,2613901000.0,1649601000.0,964300000.0,2121072000.0,,2553515000.0,36795879000.0,4593206000.0,5350185000.0,44829000.0,44829000.0,4861651000.0,1450843000.0,1450843000.0,3410808000.0,9499686000.0,46295565000.0,8160610000.0,3222292000.0,49947000.0,4888371000.0,218189000.0,,218189000.0,1127344000.0,299523000.0,9506143000.0,2178533000.0,1596000000.0,582533000.0,2296812000.0,486192000.0,1810620000.0,4475345000.0,13981488000.0,46671042000.0,105000.0,46670937000.0,-13303553000.0,-1053412000.0,32314077000.0,32314077000.0,46295565000.0,1606667646.0,800722000.0,-13848912000.0,-42.85721049683703,68.82244470151917,3.8707474735021346,13.236185542925426,,823132000.0,642000.0,1297298000.0,756979000.0,,827821000.0,,4.724073897683959,-1.81257973858123,-1.81257973858123,37.06055722318248,-16.708803427237346,38.76346267785827,228424302305.49634,2396722000.0,201313633305.49634,-10906726000.0,-21.974715418724188,0.011905413263109408,17.424206227134665,228424302305.49634,215376112305.49634,252.84497117773375,11553676000.0,-5212459000.0,-5212459000.0,13621239.882334132,13621239.882334132,14779.391233435887,14779.391233435887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,XPEV,quarterly,Q3,2021,CNY,5719918000.0,5719918000.0,4899094000.0,4899094000.0,820824000.0,2623464000.0,1538420000.0,1264240000.0,-179196000.0,-1802640000.0,-208142000.0,-177541000.0,16347000.0,193888000.0,-30601000.0,-1594498000.0,303000.0,-1594801000.0,-1594801000.0,-1594801000.0,-1594801000.0,844942685.0,-1.8874664853746854,-1.8874664853746854,844942685.0,-1.8874664853746854,-1.8874664853746854,-1802640000.0,-34.48767377837828,-1802640000.0,-1802640000.0,14.350275650804784,-31.515137105112345,-27.88153606397854,41988370000.0,15393548000.0,26594822000.0,2669307000.0,2072972000.0,596335000.0,2306979000.0,2306979000.0,3302570000.0,50267226000.0,5802358000.0,5802358000.0,44830000.0,44830000.0,5481570000.0,1455489000.0,1455489000.0,4026081000.0,11328758000.0,61595984000.0,12376082000.0,8840669000.0,,3535413000.0,385604000.0,57000000.0,328604000.0,223473000.0,223473000.0,12985159000.0,2246184000.0,1323656000.0,922528000.0,2451085000.0,383089000.0,2067996000.0,4697269000.0,17682428000.0,59891800000.0,112000.0,59891688000.0,-14898354000.0,-1079890000.0,43913556000.0,43913556000.0,61595984000.0,1700885638.0,1251132000.0,-14012892000.0,-31.910173705814216,70.59813358702817,3.871129032767331,-72.52192322010532,,,,,,,,,6.769592898481629,-2.133446483414434,-2.133446483414434,49.6937493458506,-17.63225158875717,50.24964148899638,193637239005.02966,2631788000.0,154280657005.02966,-12266454000.0,-21.455165445531364,0.017058444338321696,10.094605906381217,193637239005.02966,180875479005.02966,182.59304417201938,15283475000.0,-5270915000.0,-5270915000.0,24948386.173265815,24948386.173265815,6183.9934628859355,6183.9934628859355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,XPEV,quarterly,Q4,2021,CNY,8556008000.0,8556008000.0,7532698000.0,7532698000.0,1023310000.0,3452977000.0,2015425000.0,1451389000.0,-13837000.0,-2429667000.0,-1168189000.0,-250174000.0,13841000.0,264015000.0,-918015000.0,-1261478000.0,25687000.0,-1287165000.0,-1287165000.0,-1287165000.0,-1287165000.0,850478004.0,-1.5134606585310348,-1.5134606585310348,850478004.0,-1.5134606585310348,-1.5134606585310348,-2429667000.0,-31.348217714097554,-2429667000.0,-2429667000.0,11.96013374461548,-28.39720346217535,-15.043990141196689,39716676000.0,11024906000.0,28691770000.0,4156358000.0,2673494000.0,1482864000.0,2661921000.0,,2295781000.0,48830736000.0,7006839000.0,8102871000.0,1549176000.0,1549176000.0,8264551000.0,2981365000.0,2981365000.0,5283186000.0,16820566000.0,65651302000.0,15364775000.0,12362186000.0,96492000.0,2906097000.0,480084000.0,106596000.0,373488000.0,2167805000.0,626508000.0,18012664000.0,4572922000.0,3383168000.0,1189754000.0,919138000.0,653066000.0,266072000.0,5492060000.0,23504724000.0,59980646000.0,112000.0,59980534000.0,-16191566000.0,-1642502000.0,42146578000.0,42146578000.0,65651302000.0,1700885638.0,1563242000.0,-7535142000.0,-17.878419453176008,62.494418974762965,2.710911389897685,-89.14482603466061,,1605197000.0,14005000.0,1042719000.0,1096032000.0,,1541297000.0,,10.060234315007634,-2.8568252072043006,-2.8568252072043006,46.699239502024795,-19.038063211332624,46.05082414336021,271982195585.97028,5053006000.0,237318525585.97028,-11138448000.0,-45.36544049943044,0.021292084077816815,11.307272933734323,271982195585.97028,266010295585.97028,279.0413443614119,20988131000.0,-6579405000.0,-6579405000.0,16405567.7657478,16405567.7657478,14465.730718655977,14465.730718655977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
