date,ticker,period,period_label,fiscal_year,currency,is_sales_revenue_turnover,is_sales_and_services_revenues,is_cogs,is_cog_and_services_sold,is_gross_profit,is_operating_expn,is_sg_and_a_expense,is_operating_expenses_r_and_d,is_other_operating_expenses,is_oper_income,is_nonop_income_loss,is_net_interest_expense,is_int_expense,is_int_income,is_other_nonop_income_loss,is_pretax_income,is_inc_tax_exp,is_inc_bef_xo_item,is_xo_gl_net_of_tax,is_extraord_items_and_acctg_chng,is_ni_including_minority_int_ratio,is_min_noncontrol_interest_credits,is_net_income,is_earn_for_common,is_avg_num_sh_for_eps,eps,eps_cont_ops,is_sh_for_diluted_eps,diluted_eps,dil_eps_cont_ops,ebitda,ebitda_margin,ebita,ebit,gross_margin,oper_margin,profit_margin,is_depr_exp,div_per_shr,is_discontinued_operations,is_tot_cash_pfd_dvd,bs_c_and_ce_and_sti_detailed,bs_cash_near_cash_item,bs_acct_note_rcv,bs_accts_rec_excl_notes_rec,bs_other_current_receivable,bs_inventories,bs_invtry_raw_materials,bs_invtry_finished_goods,bs_other_inv,bs_cur_asset_report,bs_lt_invest,bs_long_term_investments,bs_other_assets_def_chrg_other,bs_disclosed_intangibles,bs_other_intangible_assets_detailed,bs_other_noncurrent_assets_detailed,bs_tot_non_cur_asset,bs_tot_asset,bs_acct_payable_and_accruals_detailed,bs_acct_payable,bs_taxes_payable,bs_other_current_liabs_sub_detailed,bs_other_current_liabs_detailed,bs_cur_liab,bs_lt_borrow,bs_long_term_borrowings_detailed,bs_other_noncur_liabs_sub_detailed,bs_other_noncurrent_liabs_detailed,bs_non_cur_liab,bs_tot_liab,bs_sh_cap_and_apic,bs_common_stock,bs_add_paid_in_cap,bs_pure_retained_earnings,bs_eqty_bef_minority_int_detailed,bs_minority_noncontrolling_interest,bs_total_equity,bs_tot_liab_and_eqy,bs_sh_out,net_debt,net_debt_to_shrhldr_eqty,tce_ratio,cur_ratio,cash_conversion_cycle,bs_net_fix_asset,bs_gross_fix_asset,bs_accum_depr,bs_accrual,bs_st_borrow,bs_short_term_debt_detailed,bs_other_current_assets_detailed,bs_other_ins_res_to_shrhldr_eqy,bs_mkt_sec_other_st_invest,bs_accrued_liabilities,bs_goodwill,bs_st_capital_lease_obligations,bs_lt_capital_lease_obligations,bs_total_capital_leases,bs_deferred_tax_liabs_st,bs_invtry_in_progress,bs_invtry_adj,bs_loans_receivable,bs_st_deferred_revenue,bs_pfd_eqty_and_hybrid_cptl,cf_net_inc,cf_depr_amort,cf_non_cash_items_detailed,cf_stock_based_compensation,cf_def_inc_tax,cf_other_non_cash_adj_less_detailed,cf_chng_non_cash_work_cap,cf_acct_rcv_unbilled_rev,cf_change_in_inventories,cf_change_in_accounts_payable,cf_cash_from_oper,cf_disp_fxd_and_intangibles_detailed,cf_disposal_of_fixed_prod_assets,cf_acquis_fxd_and_intang_detailed,cf_purchase_of_fixed_prod_assets,cf_other_investing_act_detailed,cf_cash_from_inv_act,cf_nt_csh_proc_pymt_debt,cf_pymt_debt_and_capital_lease,cf_proc_fr_repurch_eqty_detailed,cf_incr_cap_stock,cf_other_financing_act_excl_fx,cf_cash_from_fin_act,cf_effect_foreign_exchanges,cf_net_chng_cash,cf_cap_expenditures,cf_free_cash_flow,cf_free_cash_flow_firm,free_cash_flow_equity,free_cash_flow_per_sh,pr_to_free_cash_flow,cash_flow_to_net_inc,cf_dvd_paid,cf_proc_debt_and_capital_lease,cf_nt_csh_rcvd_pd_for_acquis_div,cf_cash_for_acquis_subsidiaries,cf_net_cash_paid_for_aquis,cf_net_chg_in_lt_invest_detailed,cf_decr_invest,cf_incr_invest,cf_change_in_prepaid_assets,cf_inc_dec_in_ot_op_ast_liab_detail,cf_asset_impairment_charge,cf_decr_cap_stock,cf_net_cash_discontinued_ops_inv,cf_net_cash_discont_ops_oper,revenue_per_sh,ebitda_per_sh,oper_inc_per_sh,cash_flow_per_sh,cash_st_investments_per_sh,book_val_per_sh,tang_book_val_per_sh,market_cap,short_and_long_term_debt,enterprise_value,bs_tot_cap,tot_debt_to_tot_cap,total_debt_to_ev,ev_to_ttm_sales,ev_to_ttm_ebitda,ev_to_ttm_ebit,ev_to_ttm_cash_flow_firm,ev_to_ttm_free_cash_flow_firm,diluted_mkt_cap,diluted_ev,ev_to_sh_out,ttm_net_sales,ttm_ebitda,ttm_oper_inc,ttm_cash_flow_firm,ttm_free_cash_flow_firm,NCWC,ROIC,bs_pension_liabilities,cf_acquisition_of_intang_assets,cf_cash_for_divestitures,is_other_oper_income,bs_notes_receivable,bs_amt_of_tsy_stock
2000-03-31,CCJ,quarterly,Q1,2000.0,CAD,142399594.0,142399594.0,85599536.0,85599536.0,56800058.0,37100188.0,8399304.0,,28700884.0,19699870.0,-2401043.0,,,,-2401043.0,22100913.0,10500217.0,11600696.0,,,11600696.0,,11600696.0,11600696.0,409340014.0,0.0283400000079151,0.0283400000079151,409340014.0,0.0283400000079151,0.0283400000079151,44300421.0,32.93073010533954,19699870.0,19699870.0,39.88779490480851,13.834217813851351,8.14657940668005,24600551.0,0.0175898562411247,,,57300275.0,57300275.0,95699580.0,95699580.0,,374900681.0,,,374900681.0,571200522.0,,,227699000.0,,,227699000.0,2388199217.0,2959399739.0,74500507.0,74500507.0,,37699000.0,37699000.0,147100188.0,354900681.0,354900681.0,542998406.0,123798754.0,897899087.0,1044999275.0,676199797.0,,676199797.0,554500507.0,1914400464.0,,1914400464.0,2959399739.0,340168170.0,297600406.0,15.545358016586858,58.68757894081844,3.8830713255104734,285.4974183751917,2160500217.0,3168700884.0,1008200667.0,,34900681.0,,43299986.0,506099754.0,,419199652.0,,34900681.0,,34900681.0,,,,,,177600406.0,11600696.0,24600551.0,13898796.0,,9199652.0,4699144.0,,,,,50100043.0,,,-41400609.0,-41400609.0,,-41400609.0,,,-12699725.0,700304.0,22999856.0,3099899.0,,11799333.0,-41400609.0,8699434.0,8699434.0,10100477.0,0.0212523420688601,1.792302829647293,4.318710101531839,-7200232.0,,,,,,,,,,,-13400029.0,,,0.3478760666676481,0.1082240178943268,0.0481259327850611,0.1223922443115956,0.1399821005527204,1.3546208238513424,4.242927636192439,1030497997.991851,389801362.0,1540599490.9918509,1121902275.0,34.74468059172088,0.2530192722243746,2.090361989231257,6.34775476445424,13.866764872891975,5.796085041574775,3.750230083219962,1030497997.991851,1540599490.9918509,3.763618112818677,737001294.0,242699907.0,111100138.0,265800015.0,410801326.0,,,,,,,,
2000-03-31,DNN,quarterly,Q2,2000.0,CAD,3806918.5098,3806918.5098,3907101.64614,3907101.64614,-100183.13634,2404369.12644,1803277.5711,,601091.5553399997,-2504552.26278,-2504552.26278,,,,-2504552.26278,,,-1102002.87942,,,-1102002.87942,,-1102002.87942,-1102002.87942,30009841.0,-0.0367213834761736,-0.0367213834761736,30009841.0,-0.0367213834761736,-0.0367213834761736,-1903251.49894,-38.25364761928983,-2504552.26278,-2504552.26278,-2.631607061777189,-65.78948974958698,-28.94737243739674,601300.76384,,,,901638.05928,901638.05928,4608376.33782,4608376.33782,,14426219.11626,,,14426219.11626,20236780.0173,,,20437144.83744,,,20437144.83744,44681208.18468,64917988.20198,1001821.19562,1001821.19562,,,,1703095.8873,17131136.19918,17131136.19918,15628405.13202,15628405.13202,32759541.3312,34462635.76596,54298687.59552,,54298687.59552,-23843335.1595,30455352.43602,,30455352.43602,64917988.20198,79635066.0,16229498.1399,53.28947735539953,46.91358016404321,11.882349178461316,486.86494680798864,24244063.34724,27650253.6693,3406190.32206,,701274.69168,,300546.5039399974,,,,,701274.69168,,701274.69168,,,,,,,-1102212.08792,601300.76384,-1402547.93082,,,-1402547.93082,-501326.84021,-2804127.29096,2905002.47281,-602203.47039,-2404786.09511,,,-209.2085,-209.2085,5.820766091346741e-11,-300824.48165,,,,,2004960.61392,2004960.61392,,-700649.9628400002,-209.2085,-2404995.3036100003,,-2404995.3036100003,-0.0801402214563549,,2.182195836344524,,,,,,-300615.27315,,-300615.27315,,1.448329999751877,,,,,0.1268556707714646,-0.0634209124580166,-0.0834576985189625,-0.0801332501265168,0.0300447462977228,-0.7945172105210421,1.0148455113780843,,17832410.89086,16930772.831579998,-6010924.26864,-296.66670371967047,1.0532543947195503,1.3498581037171695,,,,,,16930772.831579998,0.5641740264995072,12542631.54398,-4798014.07302,-6001903.94888,,,,,,,,,,
2000-06-30,CCJ,quarterly,Q2,2000.0,CAD,163500074.0,163500074.0,98200385.0,98200385.0,65299689.0,41900252.0,8700607.0,,33199645.0,23399437.0,-1300874.0,,,,-1300874.0,24700311.0,11799615.0,12900696.0,,,12900696.0,,12900696.0,12900696.0,407347521.0,0.0316700000243772,0.0316700000243772,407347521.0,0.0316700000243772,0.0316700000243772,50898930.0,31.37225166016534,23399437.0,23399437.0,39.93862963022268,14.311575785586497,7.890330373795427,27499493.0,0.0171839931241412,,,22200681.0,22200681.0,94900104.0,94900104.0,,365099896.0,,,365099896.0,530899807.0,,,219899364.0,,,219899364.0,2393699867.0,2924599674.0,80000000.0,80000000.0,,40498742.0,40498742.0,151299393.0,321700459.0,321700459.0,551799615.0,121499186.0,873500074.0,1024799467.0,662699423.0,,662699423.0,558200385.0,1899800207.0,,1899800207.0,2924599674.0,334672674.0,299499778.0,15.764803946039365,58.77726005655022,3.508935478677036,288.6006099167686,2173800503.0,3182000888.0,1008200385.0,,30800651.0,,48699127.0,498198905.0,,430300429.0,,30800651.0,,30800651.0,,,,,,180800651.0,12799186.0,27499493.0,25100760.0,,10600555.0,14500205.0,,,,,65399439.0,,,-29400042.0,-29400042.0,,-29400042.0,,,-22999550.0,800362.0,-41000448.0,-70999855.0,,-35000458.0,-29400042.0,35999397.0,35999397.0,39199642.0,0.0883751468810338,2.2187546627518264,5.069450438953061,-6999857.0,,,,,,,,,,,-23799912.0,,,0.4013773634822243,0.1249521044710126,0.0574434255609475,0.1605494955252225,0.0545005918914135,1.3703296478389515,4.219982858322096,1230547819.991115,352501110.0,1741648899.991115,1091502146.0,32.29504507085046,0.2023950464423675,2.4219820494994218,7.720140956840257,17.973838685272444,5.88396675762634,4.315282912919107,1230547819.991115,1741648899.991115,4.2755848758218296,719100664.0,225598070.0,96899106.0,295999106.0,403600166.0,,,,,,,,
2000-06-30,DNN,quarterly,Q3,2000.0,CAD,4903807.71265,4903807.71265,5103962.9179,5103962.9179,-200155.20525,1701321.46635,1401087.9179,,300233.5484499999,-1901476.6716,-1901476.6716,,,,-1901476.6716,,,-2401865.4253,,,-2401865.4253,,-2401865.4253,-2401865.4253,48005388.0,-0.0500332467951305,-0.0500332467951305,48005388.0,-0.0500332467951305,-0.0500332467951305,-1602182.01823,-27.58281724608177,-1901476.6716,-1901476.6716,-4.081628338192659,-38.77551451895019,-48.97960046647181,299294.65337,,,,8606682.71265,8606682.71265,2501942.28735,2501942.28735,,9907692.28735,,,9907692.28735,21516706.04105,,,19415074.1642,,,19415074.1642,43233567.28735,64750273.3284,700543.95895,700543.95895,,,,700543.95895,17513597.4926,17513597.4926,17913909.38425,17913909.38425,35427506.87685,36128050.8358,55443046.6568,,55443046.6568,-26820824.1642,28622222.4926,,28622222.4926,64750273.3284,79635066.0,8906914.779950002,31.11887898381336,44.20401802388386,30.71428390204092,82.95517619262705,23818493.12315,27221134.5747,3402641.45155,,701274.69168,,500388.7536999993,,,,,701274.69168,,701274.69168,,,,,,,-2400403.95984,299294.65337,702003.9718700005,,,702003.9718700005,5705577.04362,2103093.34231,4000498.57302,-297936.52851,4306471.70902,,,-99763.90656,-99763.90656,2001971.31089,1902207.40433,,,,,1397016.47701,1397016.47701,,7605695.590360001,-99763.90656,4206707.80246,,4206707.80246,0.0876299094272501,,-1.7929696075633004,,,,,,-300615.27315,,-300615.27315,,-100078.34320000092,,,,,0.1021511942086584,-0.0333750456975787,-0.0396096511416593,0.089708090871383,0.1792857650197515,-0.5587044555123687,0.5962293751818025,,17513597.4926,8906914.779950002,-9307226.6716,-188.17203137472583,1.9662922488069785,0.5225712645570476,,,,,,8906914.779950002,0.1855398977287716,17044402.14006,-4701326.29298,-6194723.243600001,,,,,,,,,,
2000-06-30,DYL.AX,quarterly,Q1,2000.0,AUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6759716.0,6259716.0,207949.0,131069.0,76880.0,,,,,6967665.0,700000.0,700000.0,746176.0,655754.0,,90422.0,5850542.0,12818207.0,482672.0,174894.0,,50000.0,50000.0,532672.0,,,,,,532672.0,24431470.0,24431470.0,,-12465733.0,12047111.0,238424.0,12285535.0,12818207.0,771592.0,-6259716.0,-50.95192028674372,95.62035717630316,13.080591808842966,,4404366.0,4897608.0,493242.0,307778.0,,,,81374.0,500000.0,,655754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6521292.0,12204161.0,,,,,,,,,-6021292.0,,,,,,,,,,,,,,
2000-06-30,PDN.AX,quarterly,Q1,2000.0,AUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78712.758971,13434.23488,16291.718909,,16291.718909,,,,,95004.4778789999,575801.54039,575801.54039,2985.25285099959,,,2985.25285099959,2742498.656636,2837503.134515,93963.221685,93963.221685,,18516.329333,18516.329333,112479.551018,,,,,,112479.551018,9069446.534121,9069446.534121,,-6344422.950624,2725023.583498,,2725023.583498,2837503.1345160003,13828880.0,-13434.23488,-0.4929951785134654,96.03596733872064,0.844637776548348,,2163711.8633950003,2542659.86029,378947.996895,,,,-1.00000761449337e-06,,65278.524091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-78712.758971,2725023.583496999,,,,,,,,,-13434.23488,,,,,,,,,,,,,,
2000-06-30,PEN.AX,quarterly,Q1,2000.0,AUD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629367.723446,625928.712162,,,,,,,,629367.7234469999,277831.512329,277831.512329,-9.997747838497162e-07,,,-9.997747838497162e-07,1429863.275419,2059230.998866,28162.278345,28162.278345,,118.21601300000113,118.21601300000113,28280.494358,,,,,,28280.494358,4528870.977372,4528870.977372,,-2655004.477879,2030950.504508,,2030950.504508,2059230.998866,176932.0,-625928.712162,-30.8194961311296,98.62664779359024,22.25448096765551,,1152031.7630909998,1167109.67819,15077.915099,,,,,157084.005015,3439.011284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-629367.723446,1873866.499493,,,,,,,,,-625928.712162,,,,,,,,,,,,,,
2000-06-30,RIO,quarterly,Q1,2000.0,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509000000.0,498000000.0,,,,1210000000.0,,,1210000000.0,3422000000.0,,,2202000000.0,203000000.0,203000000.0,1999000000.0,11990000000.0,15412000000.0,,1490000000.0,,1490000000.0,1490000000.0,3596000000.0,1433000000.0,1433000000.0,2727000000.0,2727000000.0,4160000000.0,7756000000.0,1813000000.0,160000000.0,1653000000.0,4560000000.0,7309000000.0,347000000.0,7656000000.0,15412000000.0,1288584513.0,3041000000.0,39.72048066875653,49.00387928200408,0.9516129032258064,,9788000000.0,16656000000.0,6868000000.0,-1490000000.0,2106000000.0,2106000000.0,1703000000.0,,11000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3539000000.0,3377000000.0,8606000000.0,41.12247269346968,1.04797157240154,,,,,,,3388000000.0,,,,,,,,,,,,,,
2000-09-30,CCJ,quarterly,Q3,2000.0,CAD,138080854.0,138080854.0,79743012.0,79743012.0,58337842.0,39307183.0,9014127.0,,30293056.0,19030659.0,126101594.0,,,,126101594.0,-107070935.0,1280433.0,-108351368.0,,,-108351368.0,,-108351368.0,-108351368.0,329932462.0,-0.3284046902908268,-0.3284046902908268,329932462.0,-0.3284046902908268,-0.3284046902908268,43731036.0,32.04025749394542,19030659.0,19030659.0,42.249044896550245,13.78225760393979,-78.46950888643838,24700377.0,0.0210819116065032,,,18013225.0,18013225.0,104813646.0,104813646.0,,374298167.0,,,374298167.0,550925759.0,,,196937180.0,,,196937180.0,2244050195.0,2794975954.0,77363992.0,77363992.0,,36632100.0,36632100.0,145348662.0,323964533.0,323964533.0,547739705.0,118563270.0,871704238.0,1017052901.0,657231740.0,,657231740.0,440763451.0,1777923054.0,,1777923054.0,2794975955.0,329932464.0,305951308.0,17.208354844809836,57.016351991127,3.790373790988183,311.5565294670019,2047113015.0,3055312594.0,1008199579.0,,31352570.0,,53800721.0,495599639.0,,429176435.0,,31352570.0,,31352570.0,,,,,,184329726.0,-108316323.0,24700377.0,123668981.0,,344067.0,123324914.0,-15768928.0,,,,24284107.0,,,-10518856.0,-10518856.0,,-10518856.0,,,-9138417.0,144961.0,-1927270.0,-18021294.0,,-4256043.0,-10518856.0,13765251.0,35999397.0,17294326.0,0.0417214205493971,3.167108006879447,-0.2241236769617897,-6955607.0,,,,,,,,,-15768928.0,,-9283378.0,,,0.4185124833215108,0.132545417734615,0.0576804685560161,0.0736032667194778,0.0545967040975798,1.3359202314563396,4.830059213755087,1096137614.281419,355317103.0,1617771218.281419,980410280.0,36.24167455690081,0.219633715190865,2.3514758244767786,7.339128984594247,16.46912126107031,7.374195384671727,5.379977079990063,1096137614.281419,1617771218.281419,4.903340545743022,687981225.0,220430956.0,98230573.0,219382744.0,300702251.0,,,,,,,,
2000-09-30,DNN,quarterly,Q4,2000.0,CAD,10217286.4346,10217286.4346,8806034.41755,8806034.41755,1411252.01705,1916302.68475,1473094.4742,,443208.21055,-505050.6677,-505050.6677,,,,-505050.6677,,,-19099931.2344,,,-19099931.2344,,-19099931.2344,-19099931.2344,48005388.0,-0.0500332467951305,-0.0500332467951305,48005388.0,-0.0500332467951305,-0.0500332467951305,-61840.954749999975,-16.440487730137345,-505050.6677,-505050.6677,13.812395552217378,-4.943099823351213,-186.93741588490323,443209.71295,,,,17503341.6096,17503341.6096,3670348.176,3670348.176,,2874813.8544,,,2874813.8544,24434142.6768,,,17894670.235200003,,,17894670.235200003,25372071.4656,49806214.1424,985622.4768,985622.4768,,7565865.547199999,7565865.547199999,8575269.5136,18399499.1712,18399499.1712,12715938.0,12715938.0,31115437.1712,39690706.6848,56247288.3984,,56247288.3984,-46131780.9408,10115507.4576,,10115507.4576,49806214.1424,79635066.0,896157.5615999997,8.859244732469621,20.30972968288444,2.849373146587233,119.8845935814739,7477401.230399998,23884632.3648,16407231.1344,,23781.4896,,385639.0368000008,,,,,23781.4896,,23781.4896,,,,,,,-19099931.2344,443209.71295,19074361.10455,,,19074361.10455,6545546.9334,-1026195.16855,7333525.5162,283621.64415,6963186.5165,341827.64505,341827.64505,-466578.8967,-466578.8967,-97180.21360000002,-411187.13825,,,,,2440067.28005,2440067.28005,,8992066.658300001,-466578.8967,6496607.6198,,6838435.26485,0.0876299094272501,,-0.3645660516284439,,,,,,-189255.673,-189255.673,-300615.27315,,-45405.058400000446,,,,,0.1021511942086584,-0.0333750456975787,-0.0396096511416593,0.089708090871383,0.1792857650197515,-0.5587044555123687,0.5962293751818025,,18423280.6608,919939.0511999988,-27708500.280000005,-66.48963485800031,20.026631804322324,0.038118171938093,,,,,,919939.0511999988,0.1855398977287716,24133871.18076,-3967726.1302800006,-5611868.555880001,,,,,,,,,,
